JobID,FRICTION,BHF,THICKNESS,INITIAL_STRESS,SATURATION,GROWTH_RATE,POWER,MAX_STRESS,AVE_STRESS,VAR_STRESS,AVE_DIST
job84, 0.26666666666666666, 0.34, 1.5, 100, 130, 7.98, 0.84, 128.04208374, 28.0785091585, 516.036692562, 7.83049053616
job85, 0.26666666666666666, 0.45, 1.5, 100, 130, 7.98, 0.84, 126.074768066, 27.3071884827, 479.806921218, 7.66196420458
job86, 0.26666666666666666, 0.56, 1.5, 100, 130, 7.98, 0.84, 129.176025391, 27.1733138394, 501.466072896, 7.5004603068
job87, 0.26666666666666666, 0.67, 1.5, 100, 130, 7.98, 0.84, 123.229698181, 26.044920491, 422.332968582, 7.31579717
job88, 0.26666666666666666, 0.78, 1.5, 100, 130, 7.98, 0.84, 129.842269897, 31.5371830362, 750.865600103, 2.29700469971
job89, 0.26666666666666666, 0.89, 1.5, 100, 130, 7.98, 0.84, 129.989730835, 39.8325658274, 861.429234534, 1.63077078925
job90, 0.26666666666666666, 1.0, 1.5, 100, 130, 7.98, 0.84, 129.947769165, 39.2724370885, 932.026930381, 1.19357893202
job91, 0.3, 0.01, 1.5, 100, 130, 7.98, 0.84, 129.460601807, 29.3749053505, 522.802897808, 8.41681459215
job92, 0.3, 0.12, 1.5, 100, 130, 7.98, 0.84, 127.881065369, 28.3655772394, 498.966144508, 8.12963146634
job93, 0.3, 0.23, 1.5, 100, 130, 7.98, 0.84, 127.575469971, 27.2978498957, 469.189754808, 7.91220177544
job94, 0.3, 0.34, 1.5, 100, 130, 7.98, 0.84, 124.345909119, 27.5371939465, 459.172653244, 7.71020274692
job95, 0.3, 0.45, 1.5, 100, 130, 7.98, 0.84, 126.844528198, 26.9863649657, 452.746758286, 7.49425506592
job96, 0.3, 0.56, 1.5, 100, 130, 7.98, 0.84, 129.962112427, 36.7671132413, 796.87721996, 2.61759270562
job97, 0.3, 0.67, 1.5, 100, 130, 7.98, 0.84, 129.989730835, 34.9795520496, 773.040973199, 1.68080223931
job98, 0.3, 0.78, 1.5, 100, 130, 7.98, 0.84, 129.989730835, 40.3526838374, 925.649137836, 1.33565775553
job99, 0.3, 0.89, 1.5, 100, 130, 7.98, 0.84, 129.989730835, 46.6570111704, 944.791229909, 1.05218802558
job100, 0.3, 1.0, 1.5, 100, 130, 7.98, 0.84, 129.989730835, 48.264469229, 1014.16878909, 0.860543992784
job101, 0.0, 0.01, 2.0, 100, 130, 7.98, 0.84, 123.710647583, 33.5462154454, 677.603879352, 8.36743715074
job102, 0.0, 0.12, 2.0, 100, 130, 7.98, 0.84, 122.000854492, 34.0481730725, 677.41302044, 8.20573679606
job103, 0.0, 0.23, 2.0, 100, 130, 7.98, 0.84, 120.901885986, 34.3570133738, 689.527155358, 8.08956400553
job104, 0.0, 0.34, 2.0, 100, 130, 7.98, 0.84, 115.561813354, 34.2333160539, 687.580176729, 8.00469568041
